28 : [(551.6461791992188, 144.81793212890625)]
85 : [(484.0743408203125, 145.334228515625)]
155 : [(311.65106201171875, 123.48120880126953)]
201 : [(259.3031921386719, 371.8119812011719)]
263 : [(760.2083129882812, 456.2781677246094), (61.14640426635742, 462.537353515625)]
273 : [(360.0842590332031, 105.77970123291016), (533.6421508789062, 113.99856567382812)]
378 : [(336.0091552734375, 126.85845184326172)]
405 : [(148.50442504882812, 421.52301025390625)]
429 : [(307.37994384765625, 130.3961944580078)]
436 : [(321.58282470703125, 191.14942932128906)]
450 : [(609.7366333007812, 109.78546142578125)]
474 : [(420.32891845703125, 114.05854034423828)]
481 : [(722.842529296875, 424.8609924316406)]
532 : [(351.1801452636719, 161.50244140625)]
591 : [(427.236083984375, 105.89027404785156)]
640 : [(205.95428466796875, 440.32586669921875)]
647 : [(481.62908935546875, 107.4704360961914)]
661 : [(558.2427978515625, 212.1560516357422)]
700 : [(351.1801452636719, 161.50244140625)]
735 : [(294.3094177246094, 319.93585205078125)]
744 : [(736.6357421875, 226.38812255859375)]
754 : [(477.6655578613281, 122.9153823852539)]
792 : [(33.61869812011719, 402.6176452636719)]
833 : [(116.92127990722656, 431.9630126953125)]
851 : [(352.20355224609375, 48.972164154052734)]
956 : [(577.9509887695312, 86.57499694824219)]
999 : [(731.0658569335938, 454.9801940917969), (104.23731231689453, 456.7880554199219)]
1047 : [(457.91815185546875, 106.30864715576172)]
1082 : [(564.2957763671875, 342.8614501953125)]
1088 : [(102.97541046142578, 416.6851806640625), (101.71883392333984, 416.5684509277344)]
1092 : [(769.6192626953125, 435.2764892578125)]
1150 : [(132.4886016845703, 432.35546875)]
1155 : [(424.0821228027344, 284.02947998046875)]
1326 : [(622.4095458984375, 437.9315490722656)]
1351 : [(110.54057312011719, 432.2414855957031)]
1461 : [(332.4327087402344, 114.02032470703125)]
1479 : [(502.5927734375, 158.18858337402344)]
1490 : [(319.63909912109375, 125.48790740966797)]
1525 : [(17.478803634643555, 431.6968078613281)]
1583 : [(499.2474365234375, 369.3211669921875)]
1633 : [(500.84783935546875, 341.5377197265625), (321.4584655761719, 338.6175537109375)]
1667 : [(445.2325439453125, 46.84449768066406)]
1668 : [(316.50823974609375, 135.93267822265625)]
1702 : [(608.9933471679688, 438.6505126953125)]
1746 : [(427.1394348144531, 407.1318664550781)]
1760 : [(559.1030883789062, 285.5382995605469)]
1789 : [(608.0713500976562, 183.43255615234375)]
1832 : [(464.4433288574219, 413.04705810546875)]
1851 : [(712.2432861328125, 452.1048278808594), (715.9929809570312, 453.08245849609375)]
1892 : [(425.7242431640625, 332.3302917480469)]
1894 : [(229.02835083007812, 122.74071502685547)]
1938 : [(424.0821228027344, 284.02947998046875)]
1947 : [(354.946533203125, 45.86790466308594)]
1989 : [(214.03529357910156, 416.47393798828125)]
2014 : [(297.0259704589844, 185.2007598876953)]
2027 : [(213.50808715820312, 457.11798095703125)]
2084 : [(448.73046875, 154.10479736328125)]
2126 : [(19.17137336730957, 415.6846923828125), (19.17137336730957, 415.6846923828125)]
2134 : [(474.14398193359375, 405.4804992675781)]
2137 : [(424.35784912109375, 273.8454895019531)]
2161 : [(724.3560791015625, 456.9148254394531)]
2205 : [(155.73162841796875, 480.8994445800781)]
2217 : [(640.7584838867188, 443.8678283691406)]
2269 : [(574.6951293945312, 167.3714141845703)]
2286 : [(352.49835205078125, 329.5130615234375)]
2292 : [(494.33416748046875, 329.6195983886719)]
2318 : [(487.57568359375, 132.3128204345703)]
2324 : [(565.9664916992188, 328.25439453125)]
2328 : [(392.450927734375, 120.11199951171875)]
2350 : [(249.18704223632812, 108.63825988769531)]
2359 : [(612.3160400390625, 450.99639892578125)]
2367 : [(477.1097717285156, 384.64117431640625)]
2373 : [(247.4608154296875, 143.56948852539062)]
2408 : [(144.48170471191406, 421.42706298828125)]
2561 : [(597.826171875, 149.6464080810547)]
2628 : [(525.0882568359375, 338.6520080566406)]
2636 : [(598.9544067382812, 447.41064453125)]
2705 : [(85.6007308959961, 434.5340881347656)]
2732 : [(424.9953918457031, 120.59452056884766)]
2754 : [(416.6724548339844, 121.17478942871094), (360.1802978515625, 124.82975769042969)]
2762 : [(127.23680877685547, 432.1277160644531)]
